ID Global,Code Série,Titre de la Vidéo,Concept / Playlist,Texte Miniature,Visuel Miniature,Hook (0-15s),Mots-Clés (15 tags),Description Complète
EP#01,B1-B2_01,Why Your Brain Goes Blank in English (And How to Fix It!),B1-B2 Series,Stop Awkward Silences | Small Talk | EP 1 | LEVEL: B1-B2,Maya en stress avec une tasse de café et Leo qui la pointe du doigt,Do you ever start speaking English and your brain just completely freezes? Let's fix that today.,"#speakenglishwithflow, #brainblank, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, enjoy real English listening practice with Maya and Leo. Today we discuss why your brain goes blank and how to fix it. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#02,B1-B2_02,English Podcast For Daily Life | Talk About Dreams and Goals | B1-B2 English,B1-B2 Series,STOP DREAMING! Do this instead | EP2 | B1-B2,Maya exclamative et Leo avec prise de conscience dans un studio cosy,"Why do we all have big dreams but struggle to achieve them? Today, we reveal the harsh truth about goals.","#speakenglishwithflow, #dreamsandgoals, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, enjoy real English listening practice with Maya and Leo. We talk about dreams, goals, and the Shiny Object Syndrome. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#03,MIND-01,How to Stop Translating in Your Head | English Podcast B1-B2,Mindset & Confidence,STOP TRANSLATING!,"Maya et Leo, bulle barrée French->English",Do you freeze when someone speaks to you in English? Let's fix that.,"#speakenglishwithflow, #thinkinenglish, #stoptranslating, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Today we discuss how to stop translating in your head and think directly in English. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#04,MIND-02,Speak English Without Fear of Making Mistakes | Daily Conversation,Mindset & Confidence,DON'T BE AFRAID!,Maya rassurant Leo qui tient une liste de fautes barrées,What if making mistakes is actually the fastest way to speak English fluently?,"#speakenglishwithflow, #englishconfidence, #fearofspeaking, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We discuss why making mistakes is the secret to fluency and how to overcome the fear of speaking. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#05,CAR-01,How to Talk to Anyone at Work with Confidence | Professional English,Career & Professional,SPEAK AT WORK!,"Leo confiant à la pause café avec Maya, décor pro",What do you say when your boss or an international colleague walks up to you at the coffee machine?,"#speakenglishwithflow, #businessenglish, #englishatwork, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We master workplace small talk and how to talk to colleagues with confidence. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#06,LIFE-01,A Quiet Morning Routine That Improves Your English | Listening Practice,Daily Life & Fluency,MORNING FLOW!,"Tasse chaude, livre et lumière douce sur le décor bleu marine",You don't need two hours of intense studying every day. Just 15 peaceful morning minutes can completely transform your English.,"#speakenglishwithflow, #morningroutineenglish, #dailyenglishhabits, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn how a quiet 15-minute morning routine can boost your fluency. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#07,LIFE-02,How to Keep a Conversation Going Without Awkward Silences,Daily Life & Fluency,NO MORE SILENCE!,Onde sonore centrale en surbrillance entre Maya et Leo,That painful 5-second silence when you don't know what to say next... Let's eliminate it.,"#speakenglishwithflow, #keepconversationgoing, #smalltalktips, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Discover how to keep any conversation going and avoid awkward silences. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#08,MIND-03,Why You Don't Understand Native Speakers (And How to Fix It),Mindset & Confidence,TOO FAST?,Leo avec casque écoutant attentivement le texte 'FAST ENGLISH',Native speakers aren't talking too fast—they are connecting their words! Here is the secret.,"#speakenglishwithflow, #fastenglish, #understandnativespeakers, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. We break down why fast English is hard to understand and how to fix your listening skills. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#09,CAR-02,The Power of Saying NO Politely in English | Daily Life Conversation,Career & Professional,SAY NO POLITELY!,Maya avec geste de main doux mais ferme 'No thanks',"Saying 'No' directly in English can sound blunt. Today, we learn the soft art of refusing politely.","#speakenglishwithflow, #saynopolitely, #politeenglish, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn the power of saying no politely and setting boundaries at work and in daily life. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#10,MIND-04,Don't Waste Your Time Trying to Sound Perfect in English,Mindset & Confidence,PERFECTION IS A TRAP,Leo déchirant une feuille marquée 'Perfect Grammar',Perfectionism is destroying your English fluency. Let's focus on connection instead.,"#speakenglishwithflow, #perfectionism, #soundnatural, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Today we explain why perfectionism hurts your progress and how to focus on communicating effectively. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
EP#11,LIFE-03,How to Introduce Yourself Naturally in English,Daily Life & Fluency,INTRODUCE YOURSELF,Maya tendant la main avec un grand sourire chaleureux,Stop memorizing a 5-minute speech about your job. Here's how to truly introduce yourself.,"#speakenglishwithflow, #introduceyourself, #englishintroductions, #englishpodcast, #learnenglishfast, #b1english, #b2english, #englishspeakingpractice, #englishlisteningpractice, #speakenglishfluently, #englishconversation, #englishforbeginners, #dailyenglish, #englishmindset, #englishlearningtips","In this English podcast for learning English conversation, spend 25 minutes enjoying real English listening practice with Maya and Leo. Learn how to introduce yourself naturally without sounding like a textbook. Perfect for B1-B2 learners. Subscribe to Speak English With Flow for daily English conversation practice!"
